index,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
2021015,2021-01-15,02,04,10,16,18,27,37,38,39,40,43,46,47,49,50,56,60,62,71,75
2021016,2021-01-16,04,05,07,09,10,11,13,17,25,30,32,54,55,57,60,64,70,72,74,76
2021017,2021-01-17,07,10,12,15,20,34,37,43,45,48,51,54,57,58,59,61,62,73,76,80
2021018,2021-01-18,03,18,20,22,25,30,37,40,43,45,50,51,61,65,67,72,74,75,76,78
2021019,2021-01-19,02,04,05,12,17,19,24,31,35,36,38,41,42,44,53,56,60,70,76,80
2021020,2021-01-20,04,11,13,14,16,17,19,20,25,28,29,30,34,35,41,65,70,74,76,77
2021021,2021-01-21,03,06,12,13,15,21,25,28,32,34,42,45,46,54,55,60,63,65,70,78
2021022,2021-01-22,01,02,03,05,06,12,15,17,21,22,26,29,30,33,43,49,51,58,59,61
2021023,2021-01-23,02,04,06,09,10,12,13,14,18,23,35,39,45,52,59,60,67,68,70,74
2021024,2021-01-24,01,06,07,09,12,18,19,20,23,24,34,41,52,53,59,62,67,69,72,80
2021025,2021-01-25,02,08,11,13,15,17,18,20,25,26,29,30,37,45,50,51,52,60,63,75
2021026,2021-01-26,06,09,12,15,16,23,25,26,28,33,34,37,41,42,44,52,53,54,61,78
2021027,2021-01-27,07,08,13,14,19,26,28,29,31,35,45,51,53,54,59,61,62,63,77,80
2021028,2021-01-28,06,13,17,18,19,20,23,25,33,50,55,56,58,59,61,62,67,68,73,80
2021029,2021-01-29,02,07,09,17,24,27,28,29,30,33,35,41,48,49,51,59,68,69,77,79
2021030,2021-01-30,10,12,13,14,21,22,23,25,27,28,29,33,34,44,48,55,60,70,77,80
2021031,2021-01-31,01,06,10,12,19,20,22,23,25,32,34,39,43,50,53,57,58,62,66,67
2021032,2021-02-01,03,06,09,10,12,17,19,20,28,32,33,36,38,40,42,48,49,51,53,63
2021033,2021-02-02,01,10,17,19,21,24,27,29,30,31,43,50,53,64,67,69,71,73,76,80
2021034,2021-02-03,02,14,15,17,22,23,27,37,42,45,49,53,55,61,62,66,67,71,76,77
2021035,2021-02-04,01,05,08,20,22,23,25,29,34,35,36,45,47,51,52,53,54,58,67,77
2021036,2021-02-05,03,10,11,13,14,15,18,19,30,34,42,44,47,50,52,59,61,64,67,73
2021037,2021-02-06,03,04,05,07,11,13,22,27,31,44,46,47,59,63,66,67,69,76,78,79
2021038,2021-02-07,01,15,19,29,30,33,35,37,38,44,45,47,50,57,59,61,68,74,75,76
2021039,2021-02-08,06,09,10,15,19,20,30,43,46,47,48,50,52,55,58,60,72,73,77,78
2021040,2021-02-19,01,05,14,15,18,27,29,31,32,43,44,47,49,60,71,72,73,77,78,80
2021041,2021-02-20,09,11,15,16,18,19,26,27,29,43,47,48,50,51,52,57,64,67,71,74
2021042,2021-02-21,01,05,09,16,19,27,28,31,36,37,49,51,53,57,60,62,64,65,69,77
2021043,2021-02-22,01,02,03,06,08,10,29,30,36,39,43,44,46,50,53,54,55,61,62,75
2021044,2021-02-23,07,09,16,18,19,22,24,39,42,45,47,52,56,59,62,63,64,72,73,76
2021045,2021-02-24,02,03,12,14,19,27,34,35,36,47,48,51,52,54,55,59,63,64,66,76
2021046,2021-02-25,03,05,14,16,21,25,27,33,34,36,42,51,52,58,62,71,74,75,79,80
2021047,2021-02-26,02,05,06,07,15,16,21,24,32,35,41,47,52,57,61,70,71,72,73,79
2021048,2021-02-27,05,12,20,22,28,33,36,37,49,50,52,53,59,61,63,66,69,70,74,75
2021049,2021-02-28,01,02,04,10,22,23,24,33,35,39,47,50,54,56,62,67,74,77,78,79
2021050,2021-03-01,01,04,07,09,15,21,24,25,30,35,44,49,50,52,54,57,65,69,78,80
2021051,2021-03-02,03,06,07,10,13,15,23,28,35,45,48,52,54,57,67,68,75,76,78,79
2021052,2021-03-03,08,11,12,19,21,27,30,32,38,40,43,44,47,50,51,52,53,60,66,76
2021053,2021-03-04,08,11,13,15,23,26,27,34,39,42,45,49,65,68,71,72,73,74,75,77
2021054,2021-03-05,06,07,12,13,23,30,33,36,39,44,45,46,48,56,59,62,67,72,78,79
2021055,2021-03-06,07,12,17,18,20,24,26,37,38,44,45,48,50,51,57,62,63,64,65,78
2021056,2021-03-07,06,07,15,17,22,23,27,30,38,40,46,47,50,53,55,61,70,71,72,80
2021057,2021-03-08,05,08,10,11,14,15,20,23,29,33,34,47,53,59,60,66,67,71,75,76
2021058,2021-03-09,02,04,22,25,26,28,33,39,43,44,46,52,55,56,66,67,68,73,75,77
2021059,2021-03-10,01,02,09,11,13,17,24,25,30,37,41,54,60,63,65,71,72,74,77,78
2021060,2021-03-11,01,03,17,18,23,25,28,29,33,36,44,52,53,55,59,60,61,65,76,78
2021061,2021-03-12,06,07,09,10,11,14,15,20,21,24,40,41,43,50,51,58,61,65,73,79
2021062,2021-03-13,04,08,09,10,12,17,24,28,31,32,40,41,45,49,52,67,74,75,77,79
2021063,2021-03-14,02,05,10,11,23,27,29,35,42,47,51,53,57,59,63,65,67,71,73,78
2021064,2021-03-15,05,09,11,12,15,19,27,30,34,38,40,43,45,47,52,58,62,70,72,75
2021065,2021-03-16,03,06,09,10,17,18,21,22,34,36,37,39,46,52,54,59,63,64,76,77
2021066,2021-03-17,04,05,08,11,21,30,34,36,39,44,50,52,59,60,67,68,71,74,76,78
2021067,2021-03-18,01,05,10,12,23,26,29,33,34,36,37,43,44,45,53,54,63,64,67,77
2021068,2021-03-19,02,07,08,16,19,21,27,32,43,46,48,49,61,64,66,68,74,77,79,80
2021069,2021-03-20,01,04,14,25,26,30,31,32,33,34,38,41,47,53,56,61,66,71,74,78
2021070,2021-03-21,02,03,12,14,17,19,26,31,33,37,41,43,51,53,55,58,63,65,76,80
2021071,2021-03-22,01,06,12,14,17,19,32,33,40,43,47,50,51,57,58,59,61,62,74,79
2021072,2021-03-23,02,04,11,12,15,16,17,19,20,27,32,34,35,40,42,43,44,52,55,59
2021073,2021-03-24,04,09,11,12,17,18,22,26,27,28,31,33,39,42,48,49,51,60,62,80
2021074,2021-03-25,04,05,14,19,21,22,23,36,40,45,50,51,57,59,62,66,68,74,75,78
2021075,2021-03-26,09,15,19,27,28,31,33,34,36,42,49,54,56,59,60,63,64,69,72,79
2021076,2021-03-27,04,08,10,12,14,19,20,22,23,35,36,39,51,53,55,58,59,63,74,75
2021077,2021-03-28,01,06,13,18,21,23,27,30,35,36,38,40,45,52,53,55,62,63,66,69
2021078,2021-03-29,07,14,20,22,24,29,30,35,36,39,40,42,44,45,55,56,57,59,71,75
2021079,2021-03-30,02,03,04,06,09,12,14,15,18,22,29,34,35,37,40,53,54,58,66,72
2021080,2021-03-31,05,08,11,17,19,25,27,29,37,40,44,46,48,54,59,63,64,65,77,79
2021081,2021-04-01,02,03,08,09,13,21,27,29,33,36,42,46,49,54,57,60,63,66,69,77
2021082,2021-04-02,02,07,10,13,16,19,24,38,39,51,52,56,57,61,64,66,68,69,75,76
2021083,2021-04-03,07,21,22,25,26,28,32,38,42,43,51,55,56,62,63,65,71,73,74,79
2021084,2021-04-04,05,06,07,10,13,20,23,26,28,30,49,51,54,56,60,61,67,74,75,79
2021085,2021-04-05,04,09,11,12,17,25,30,34,35,36,45,51,57,58,64,72,73,74,75,76
2021086,2021-04-06,01,03,05,09,15,19,21,27,33,40,47,51,53,56,57,58,59,60,70,71
2021087,2021-04-07,01,03,09,13,14,17,20,30,31,36,37,41,46,47,48,50,64,68,70,77
2021088,2021-04-08,03,12,15,18,21,26,38,39,40,42,44,52,59,65,66,71,74,75,76,78
2021089,2021-04-09,02,06,13,15,17,20,23,30,39,43,44,45,52,53,56,59,61,66,74,76
2021090,2021-04-10,07,09,10,14,15,16,17,21,24,39,43,44,50,55,57,61,63,66,75,80
2021091,2021-04-11,01,03,06,12,13,20,21,22,26,39,47,48,51,55,56,57,66,68,79,80
2021092,2021-04-12,03,04,08,09,18,23,31,33,34,36,49,55,57,59,61,63,64,66,75,79
2021093,2021-04-13,05,09,15,16,19,20,22,25,26,27,35,43,45,60,65,68,69,70,72,76
2021094,2021-04-14,01,03,04,05,07,12,21,24,26,36,42,54,55,56,58,61,65,69,72,79
2021095,2021-04-15,01,04,06,07,15,22,24,28,35,37,39,46,51,60,65,67,70,74,75,77
2021096,2021-04-16,09,13,14,17,22,26,28,32,36,41,46,48,51,56,60,63,67,70,76,77
2021097,2021-04-17,02,07,08,15,19,26,27,37,38,43,49,57,59,60,66,67,68,69,73,74
2021098,2021-04-18,01,02,04,12,13,16,20,28,31,36,41,42,46,51,60,61,62,69,76,78
2021099,2021-04-19,03,08,09,10,16,21,27,30,33,34,35,38,43,46,49,50,54,60,62,64
2021100,2021-04-20,03,05,09,20,28,32,34,37,43,44,45,50,54,60,67,70,72,78,79,80
2021101,2021-04-21,02,03,06,09,10,13,19,23,34,40,44,45,48,54,56,59,65,67,70,77
2021102,2021-04-22,04,08,10,12,14,27,28,31,32,36,39,45,46,50,51,63,64,66,74,78
2021103,2021-04-23,02,17,19,20,22,23,25,32,33,40,42,47,49,58,59,66,67,77,78,79
2021104,2021-04-24,01,07,15,16,21,24,38,40,41,45,49,55,56,59,63,67,70,74,76,78
2021105,2021-04-25,08,09,12,13,15,22,23,24,29,46,51,59,61,62,65,66,67,72,76,78
2021106,2021-04-26,07,10,11,12,13,16,18,21,29,39,40,43,47,51,56,59,68,72,75,79
2021107,2021-04-27,03,05,13,17,18,22,30,31,37,43,50,53,54,55,56,72,75,78,79,80
2021108,2021-04-28,01,02,04,12,16,17,21,26,35,38,40,49,52,53,55,62,63,72,77,79
2021109,2021-04-29,01,09,12,15,18,23,27,32,33,38,42,43,44,46,47,52,55,57,62,63
2021110,2021-04-30,01,07,08,09,12,14,23,34,35,43,48,53,54,56,67,69,71,77,78,80
2021111,2021-05-01,03,11,12,15,22,23,31,42,45,48,50,53,56,57,60,63,67,73,76,77
2021112,2021-05-02,12,13,18,23,25,30,31,41,44,45,49,50,54,55,57,58,60,67,74,77
2021113,2021-05-03,04,09,12,15,16,23,25,26,29,30,47,48,49,51,52,63,71,72,73,80
2021114,2021-05-04,02,08,10,17,18,20,29,31,35,37,40,43,45,51,55,58,67,73,77,79
2021115,2021-05-05,01,02,05,07,10,14,21,27,33,36,38,41,44,52,54,56,59,66,70,71
2021116,2021-05-06,03,05,10,15,19,23,27,28,32,34,42,43,48,49,53,58,65,67,73,77
2021117,2021-05-07,01,02,04,06,08,09,13,14,23,27,28,29,30,33,39,46,61,70,73,79
2021118,2021-05-08,03,07,10,17,19,24,26,27,28,32,35,39,41,46,47,56,62,67,75,76
2021119,2021-05-09,04,09,18,20,21,28,30,32,39,40,41,46,48,53,55,60,72,73,74,77
2021120,2021-05-10,02,06,09,13,17,22,25,33,38,39,42,45,48,50,52,59,61,71,78,79
2021121,2021-05-11,06,08,09,10,11,13,23,25,27,32,36,53,63,67,68,73,74,75,78,79
2021122,2021-05-12,01,05,06,11,12,13,19,23,35,37,49,59,60,64,67,68,69,72,78,80
2021123,2021-05-13,02,04,05,09,10,11,14,15,26,28,30,32,48,50,51,61,63,69,75,78
2021124,2021-05-14,02,06,12,15,21,28,31,35,36,41,42,44,47,57,68,73,75,77,78,79
2021125,2021-05-15,05,09,11,12,13,14,18,19,22,35,40,43,44,49,61,63,69,77,78,80
2021126,2021-05-16,02,05,19,24,25,26,29,33,39,40,42,43,45,46,56,59,61,69,77,79
2021127,2021-05-17,02,05,07,11,14,15,16,20,23,24,25,30,33,46,51,62,64,65,69,73
2021128,2021-05-18,01,02,07,12,19,21,22,35,40,47,50,51,55,56,62,63,68,75,79,80
2021129,2021-05-19,08,12,13,14,15,16,27,30,36,44,53,55,56,58,60,61,62,64,73,75
2021130,2021-05-20,01,14,21,22,24,28,37,41,43,44,45,49,53,54,61,63,69,73,74,80
2021131,2021-05-21,04,05,09,19,24,31,34,36,42,43,47,56,64,67,70,71,76,77,78,80
2021132,2021-05-22,01,07,09,10,11,13,14,17,19,20,22,30,41,51,52,53,60,63,67,70
2021133,2021-05-23,03,04,10,14,27,29,32,36,38,44,45,46,47,48,50,53,63,71,74,77
2021134,2021-05-24,01,05,12,13,21,22,31,32,39,44,48,55,56,57,60,61,62,66,76,77
2021135,2021-05-25,04,05,06,07,09,12,32,33,40,42,43,47,50,59,61,64,66,67,69,79
2021136,2021-05-26,02,06,08,17,18,25,28,30,40,45,46,51,54,60,62,65,66,71,73,75
2021137,2021-05-27,01,08,11,16,29,31,35,38,39,41,52,57,59,61,62,63,69,71,73,74
2021138,2021-05-28,02,04,05,06,08,09,13,19,22,23,29,35,40,41,48,50,52,54,57,77
2021139,2021-05-29,25,26,32,37,42,44,45,49,50,51,57,62,65,67,68,69,70,73,75,77
2021140,2021-05-30,03,06,08,23,30,35,40,41,44,46,47,50,52,54,58,66,67,68,71,78
2021141,2021-05-31,07,10,13,14,23,32,37,39,43,46,51,53,54,58,60,61,72,73,74,80
2021142,2021-06-01,01,02,07,15,16,18,20,21,24,25,29,35,40,52,54,62,65,66,70,78
2021143,2021-06-02,03,08,12,13,16,21,34,36,37,38,44,45,47,54,55,58,64,65,69,70
2021144,2021-06-03,01,04,08,19,20,23,25,29,35,39,42,45,50,54,58,61,65,67,71,73
2021145,2021-06-04,02,09,23,24,25,26,32,33,44,48,50,52,53,54,55,60,63,66,75,79
2021146,2021-06-05,01,05,08,19,21,24,26,35,36,42,46,54,59,61,62,63,66,74,77,78
2021147,2021-06-06,05,06,11,21,22,23,24,34,37,38,40,44,52,53,55,57,61,70,71,77
2021148,2021-06-07,03,05,08,10,13,19,21,23,27,30,34,35,40,43,46,54,56,57,72,73
2021149,2021-06-08,05,07,10,11,18,19,20,26,32,38,41,47,48,51,53,59,67,74,78,79
2021150,2021-06-09,04,13,14,17,24,25,27,30,37,40,43,44,53,59,62,74,75,76,77,78
2021151,2021-06-10,01,03,06,09,18,31,33,39,41,42,43,47,53,55,61,62,63,76,77,79
2021152,2021-06-11,01,08,11,26,31,33,36,39,42,45,50,51,55,57,61,62,65,67,74,79
2021153,2021-06-12,22,27,29,30,31,32,36,39,40,41,44,47,51,52,57,60,61,68,73,80
2021154,2021-06-13,02,03,10,14,16,24,26,30,37,42,46,49,52,55,62,67,68,69,78,79
2021155,2021-06-14,01,06,20,25,26,29,34,37,38,45,50,51,53,54,58,59,67,72,74,77
2021156,2021-06-15,05,06,11,13,15,17,20,21,30,36,39,44,47,49,52,63,66,69,71,72
2021157,2021-06-16,01,05,09,17,19,28,37,41,42,43,49,50,55,56,59,64,67,69,71,72
2021158,2021-06-17,01,09,12,16,19,21,23,25,26,31,32,34,43,44,48,56,59,71,72,75
2021159,2021-06-18,06,11,21,26,27,38,42,43,51,52,56,59,62,64,70,71,72,73,78,80
2021160,2021-06-19,02,09,11,13,20,26,27,32,35,36,38,42,43,54,59,63,65,68,72,74
2021161,2021-06-20,05,08,09,15,25,26,28,31,36,38,55,57,58,60,66,68,70,74,78,79
2021162,2021-06-21,09,22,29,30,32,34,36,37,42,44,47,51,53,57,61,64,69,71,75,79
2021163,2021-06-22,04,08,09,17,18,22,24,29,37,38,43,47,52,56,57,63,64,70,75,78
2021164,2021-06-23,01,02,03,07,09,20,23,26,27,31,36,37,39,46,51,58,59,63,64,70
2021165,2021-06-24,02,04,06,10,11,15,17,38,39,40,46,49,62,65,66,69,70,71,72,76
2021166,2021-06-25,02,03,07,13,14,16,23,27,28,30,45,48,54,55,57,58,64,65,71,77
2021167,2021-06-26,08,15,17,20,22,25,26,31,39,40,42,46,50,55,56,59,62,64,65,74
2021168,2021-06-27,02,04,06,11,12,16,22,25,27,33,38,39,47,48,49,56,60,69,71,74
2021169,2021-06-28,02,06,10,14,19,22,24,25,34,39,41,42,45,47,48,49,51,52,59,60
2021170,2021-06-29,08,10,11,13,18,25,28,37,39,40,44,52,54,56,58,70,75,76,78,80
2021171,2021-06-30,01,02,11,13,22,40,41,43,44,52,53,54,55,58,59,64,66,73,75,79
2021172,2021-07-01,16,24,25,26,34,35,43,46,47,49,52,55,64,65,71,72,73,76,78,79
2021173,2021-07-02,05,06,15,17,18,19,23,27,31,34,41,43,49,53,56,58,63,65,75,79
2021174,2021-07-03,03,04,07,08,09,13,18,21,23,28,39,48,50,59,60,61,63,65,77,79
2021175,2021-07-04,01,11,14,19,20,27,30,31,37,40,47,48,49,50,61,65,67,69,75,78
2021176,2021-07-05,02,05,11,25,28,30,36,40,42,43,44,52,53,55,59,60,65,69,71,79
2021177,2021-07-06,03,11,13,14,19,20,23,30,34,35,36,50,55,57,63,65,66,70,73,78
2021178,2021-07-07,09,11,14,19,23,26,28,31,32,33,39,41,43,48,49,62,64,68,77,78
2021179,2021-07-08,02,04,05,08,09,11,13,17,30,34,35,45,50,54,56,65,66,73,75,76
2021180,2021-07-09,01,02,05,09,11,12,14,18,25,26,31,36,37,43,54,60,61,65,68,80
2021181,2021-07-10,01,02,05,06,22,28,31,38,40,47,48,53,59,60,61,64,67,68,72,78
2021182,2021-07-11,01,18,21,30,35,36,40,41,43,49,52,59,63,65,67,69,70,71,74,80
2021183,2021-07-12,06,08,19,22,30,32,36,37,49,52,55,59,60,61,62,64,71,75,78,79
2021184,2021-07-13,10,11,15,17,19,22,30,37,39,45,48,56,57,58,61,63,64,71,75,79
2021185,2021-07-14,01,02,03,04,10,11,20,22,30,32,34,44,48,50,54,55,58,59,60,80
2021186,2021-07-15,03,06,13,14,15,17,21,22,24,28,33,36,40,45,46,59,60,62,69,76
2021187,2021-07-16,06,10,11,12,24,27,39,40,42,43,44,46,47,51,53,54,57,63,73,74
2021188,2021-07-17,03,06,09,12,14,19,21,29,32,37,38,64,67,70,71,73,75,77,79,80
2021189,2021-07-18,05,06,10,11,16,17,18,20,27,33,34,40,41,44,50,55,65,70,75,79
2021190,2021-07-19,04,08,19,24,27,30,35,42,43,44,50,52,53,56,57,66,68,69,70,71
2021191,2021-07-20,07,09,11,15,19,21,22,23,30,34,37,46,48,57,61,63,67,68,72,75
2021192,2021-07-21,01,05,07,11,14,15,21,26,34,37,44,47,48,53,63,64,65,66,72,78
2021193,2021-07-22,02,04,06,09,16,22,24,29,38,41,42,43,46,47,48,52,53,63,71,75
2021194,2021-07-23,01,02,03,08,17,21,23,25,29,31,35,37,43,45,51,62,65,73,77,79
2021195,2021-07-24,04,05,11,13,14,25,27,28,33,38,39,44,54,57,58,63,65,70,71,74
2021196,2021-07-25,09,10,17,18,20,23,26,28,34,40,50,51,55,59,60,64,66,74,78,79
2021197,2021-07-26,02,05,10,11,16,20,22,28,29,31,32,33,41,46,49,50,51,56,75,77
2021198,2021-07-27,01,03,04,08,13,29,31,32,35,39,43,54,55,56,62,65,66,72,78,80
2021199,2021-07-28,05,23,25,27,29,35,39,43,46,48,50,51,54,55,58,59,65,66,67,70
2021200,2021-07-29,01,02,10,14,16,17,19,25,32,34,35,42,53,62,64,68,69,70,78,79
2021201,2021-07-30,08,10,12,13,22,24,32,35,39,42,48,49,55,56,60,66,70,75,76,78
2021202,2021-07-31,08,12,24,30,33,34,40,42,48,49,51,54,63,64,65,66,67,72,75,78
2021203,2021-08-01,02,06,13,20,21,37,46,48,49,52,53,56,62,64,66,68,73,77,78,79
2021204,2021-08-02,03,09,10,16,17,19,28,32,36,39,42,52,53,56,64,65,70,74,75,76
2021205,2021-08-03,03,07,15,18,24,26,27,30,43,46,48,52,57,58,62,68,72,73,76,79
2021206,2021-08-04,03,08,12,14,18,19,21,27,31,33,35,38,40,45,52,61,67,76,78,80
2021207,2021-08-05,01,03,14,16,17,19,28,37,39,40,43,46,48,51,56,57,59,60,61,72
